,data_year,state_abbr,Population
265,2018,NJ,8891730
266,2019,NJ,8891258
267,2020,NJ,9272392
268,2021,NJ,9269175
269,2022,NJ,9260817
270,2014,NM,2090236
271,2015,NM,2090071
272,2016,NM,2092555
273,2017,NM,2092844
274,2018,NM,2093754
275,2019,NM,2099634
276,2020,NM,2118488
277,2021,NM,2116950
278,2022,NM,2113476
279,2014,NY,19653431
280,2015,NY,19657321
281,2016,NY,19636391
282,2017,NY,19593849
283,2018,NY,19544098
284,2019,NY,19463131
285,2020,NY,20104710
286,2021,NY,19854526
287,2022,NY,19673200
288,2014,NC,9937295
289,2015,NC,10037218
290,2016,NC,10161802
291,2017,NC,10275758
292,2018,NC,10391358
293,2019,NC,10501384
294,2020,NC,10453812
295,2021,NC,10567100
296,2022,NC,10695965
297,2014,ND,738736
298,2015,ND,755537
299,2016,ND,756114
300,2017,ND,756755
301,2018,ND,760062
302,2019,ND,763724
303,2020,ND,779563
304,2021,ND,777982
305,2022,ND,778912
306,2014,OH,11606573
307,2015,OH,11622315
308,2016,OH,11640060
309,2017,OH,11665706
310,2018,OH,11680892
311,2019,OH,11696507
312,2020,OH,11798292
313,2021,OH,11765227
314,2022,OH,11759697
315,2014,OK,3879187
316,2015,OK,3910518
317,2016,OK,3928143
318,2017,OK,3933602
319,2018,OK,3943488
320,2019,OK,3960676
321,2020,OK,3965234
322,2021,OK,3991634
323,2022,OK,4019271
324,2014,OR,3965447
325,2015,OR,4018542
326,2016,OR,4093271
327,2017,OR,4147294
328,2018,OR,4183538
329,2019,OR,4216116
330,2020,OR,4245044
331,2021,OR,4256465
332,2022,OR,4239379
333,2014,PA,12792392
334,2015,PA,12789838
335,2016,PA,12788468
336,2017,PA,12794679
337,2018,PA,12809107
338,2019,PA,12798883
339,2020,PA,12995477
340,2021,PA,13013614
341,2022,PA,12972091
342,2014,RI,1056511
343,2015,RI,1056886
344,2016,RI,1057816
345,2017,RI,1056554
346,2018,RI,1059338
347,2019,RI,1058158
348,2020,RI,1096444
349,2021,RI,1097092
350,2022,RI,1093842
351,2014,SC,4826858
352,2015,SC,4896006
353,2016,SC,4963031
354,2017,SC,5027102
355,2018,SC,5091702
356,2019,SC,5157702
357,2020,SC,5132151
358,2021,SC,5193848
359,2022,SC,5282955
360,2014,SD,849670
361,2015,SD,854663
362,2016,SD,863693
363,2017,SD,873732
364,2018,SD,879386
365,2019,SD,887127
366,2020,SD,887852
367,2021,SD,896299
368,2022,SD,909869
369,2014,TN,6544617
370,2015,TN,6595354
371,2016,TN,6651277
372,2017,TN,6714748
373,2018,TN,6778180
374,2019,TN,6830325
375,2020,TN,6926091
376,2021,TN,6963709
377,2022,TN,7048976
378,2014,TX,26963092
379,2015,TX,27468531
380,2016,TX,27914064
381,2017,TX,28291024
382,2018,TX,28624564
383,2019,TX,28986794
384,2020,TX,29234361
385,2021,TX,29561286
386,2022,TX,30029848
387,2014,UT,2938327
388,2015,UT,2983626
389,2016,UT,3044241
390,2017,UT,3103540
391,2018,UT,3155153
392,2019,UT,3203383
393,2020,UT,3283982
394,2021,UT,3339284
395,2022,UT,3381236
396,2014,VT,625693
397,2015,VT,625810
398,2016,VT,624366
399,2017,VT,625132
400,2018,VT,624802
401,2019,VT,624046
402,2020,VT,642936
403,2021,VT,647093
404,2022,VT,647110
405,2014,VA,8315430
406,2015,VA,8367303
407,2016,VA,8417651
408,2017,VA,8471011
409,2018,VA,8510920
410,2019,VA,8556642
411,2020,VA,8637193
412,2021,VA,8657348
413,2022,VA,8679099
414,2014,WA,7057531
415,2015,WA,7167287
416,2016,WA,7299961
417,2017,WA,7427951
418,2018,WA,7526793
419,2019,WA,7614024
420,2020,WA,7724566
421,2021,WA,7741433
422,2022,WA,7784477
423,2014,WV,1850569
424,2015,WV,1843332
425,2016,WV,1832435
426,2017,WV,1818683
427,2018,WV,1805953
428,2019,WV,1795263
429,2020,WV,1791562
430,2021,WV,1785249
431,2022,WV,1774035
432,2014,WI,5753199
433,2015,WI,5762927
434,2016,WI,5775170
435,2017,WI,5793147
436,2018,WI,5809319
437,2019,WI,5824581
438,2020,WI,5896700
439,2021,WI,5879978
440,2022,WI,5890543
441,2014,WY,583159
442,2015,WY,586389
443,2016,WY,585243
444,2017,WY,579994
445,2018,WY,579054
446,2019,WY,580116
447,2020,WY,577664
448,2021,WY,579548
449,2022,WY,581629
