state_abbr,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)"
MD,2004,7953,114295,726,7255,409,6892,23594,51966,252,353,1338,3277,354,0,0,25459,5871,19,4906,295,2437,2637,466,3421,34244,329,53,138,4524,4135,1337
MD,2005,7729,115824,576,7068,497,6862,23381,52935,1,368,1131,3148,387,0,0,23368,5918,18,4440,334,2358,1895,419,3580,33039,277,463,205,4578,4496,1310
MD,2006,8043,110410,571,7600,281,6851,23983,56587,4,353,1225,2624,356,0,0,23355,6130,19,4068,319,2301,1701,405,4280,31200,225,726,157,4615,4442,1351
MD,2007,7785,106546,488,7110,276,7206,24137,55401,1,416,1046,2335,455,0,0,23983,6942,28,3502,327,2260,1387,350,4178,30038,263,720,127,4379,4325,1522
MD,2008,7913,105675,572,7493,236,7507,23813,57223,12,434,1129,2375,283,0,0,27047,6900,28,3299,309,2231,1338,411,4471,30135,248,593,160,4277,4377,1363
MD,2009,7630,99090,490,6667,226,7167,23305,51814,0,357,1239,2017,314,0,0,26525,7558,20,2492,320,2247,1325,443,4211,29570,167,418,137,3909,3671,1409
MD,2010,7476,94473,427,6373,322,6914,21398,47412,1,298,1174,1817,240,0,0,23359,7402,19,1944,284,2120,1533,368,3803,29044,186,259,161,3825,3929,1391
MD,2011,6577,81943,395,6570,211,6654,19574,43385,8,300,961,1588,225,0,0,22494,6760,16,1742,224,2088,1145,323,3093,26692,192,401,139,3522,3471,1298
MD,2012,6587,75327,344,6691,216,6561,18017,40876,5,269,857,1374,208,0,0,23143,6010,22,1664,224,1950,1145,356,3286,26614,162,248,102,3466,3351,1198
MD,2013,6306,68609,357,5741,223,6074,18204,42094,109,279,712,1357,108,0,0,22015,5674,15,1322,247,1978,990,281,3450,24174,107,301,269,3052,3036,965
MD,2014,6754,75309,356,5880,152,7155,20483,43223,81,250,690,1279,265,0,0,24502,7048,14,1440,239,1941,1005,349,3575,24521,171,251,877,3160,3266,996
MD,2015,6441,66281,338,5348,136,5802,19933,31272,21,206,591,1049,172,0,0,21624,6611,19,1421,286,1922,708,436,3472,22340,110,199,63,2885,3299,829
MD,2016,6407,64104,358,5051,57,5267,19234,32961,17,148,624,1030,136,2,0,20728,5774,28,1669,314,2054,700,442,3512,22752,256,454,144,2958,3673,730
MD,2017,6481,62891,321,4895,87,4802,18727,33663,33,140,520,1113,123,18,2,17993,4206,15,1848,326,1881,731,385,3554,22006,171,135,146,2829,3492,674
MD,2018,6381,58201,311,3909,68,4867,18767,32944,58,114,462,928,76,12,3,15755,4445,15,2047,267,1883,837,484,3304,22116,343,262,207,2585,3744,703
MD,2019,6246,58871,227,3670,36,5111,19064,30817,44,120,398,860,58,10,2,16189,4226,25,1950,245,1857,675,524,3308,22760,283,49,228,2774,3833,741
MD,2020,5793,38587,200,2838,9,2952,13278,19400,19,86,218,542,10,10,1,9619,1766,20,1626,273,1333,143,467,2299,16791,347,2,122,2064,3698,496
MD,2021,3043,15276,39,913,2,950,9605,8888,0,57,79,226,0,6,0,2991,334,14,672,177,312,96,223,1041,4994,356,0,16,867,2238,153
MD,2022,5315,36136,74,1746,6,1514,9812,8796,1,98,90,394,0,3,0,6166,668,14,943,193,860,80,289,1816,10879,291,25,35,1463,3330,289
MA,2004,6311,28288,111,2492,13,5191,11072,12867,6205,64,592,1091,13,0,0,9459,3704,3,855,63,1772,855,238,972,14549,1163,151,15,2397,846,424
MA,2005,6501,32800,122,2654,17,6028,11775,15222,7242,84,606,1089,13,0,0,9614,3720,11,816,43,1646,789,266,1011,15199,987,150,24,2454,843,402
MA,2006,9957,34515,104,3501,24,7869,11829,19915,7370,110,857,1517,10,0,0,12068,4881,8,965,79,1560,972,328,2072,17980,1465,177,16,3598,1450,626
MA,2007,10079,35813,177,3874,7,8490,12154,21303,7596,131,872,1546,23,0,0,12932,5306,10,1029,71,1700,1206,324,1936,20556,1390,172,14,3636,1444,654
MA,2008,11089,38940,151,4229,13,8863,13956,21126,7991,178,725,1806,36,0,0,15569,4786,3,826,80,1413,1276,355,2196,23883,1492,28,19,3854,1510,783
MA,2009,10917,38199,100,3958,10,8711,13066,12373,7624,146,733,1687,21,0,0,16474,5315,5,731,77,1992,838,337,2213,23235,1534,21,20,3586,1570,745
MA,2010,10758,37462,138,4042,4,8172,12082,12173,8806,153,691,1463,15,0,0,15463,5269,9,791,90,2169,907,384,1875,23222,1516,54,10,3652,1628,678
MA,2011,9684,37624,86,3927,8,7711,10926,11309,7712,127,631,1324,15,0,0,15155,4583,5,733,94,1997,874,300,1843,22758,1394,23,9,3362,1528,602
MA,2012,9075,38238,113,3631,2,7125,11027,12476,8140,151,622,1420,19,0,0,15264,4710,12,604,54,1849,945,252,1616,22333,1570,52,3,3333,1396,578
MA,2013,8725,36560,125,3401,0,6707,9524,11906,7889,134,606,1506,15,0,0,15822,3762,6,601,51,1683,924,329,1582,21701,1504,58,20,2894,1462,406
MA,2014,8864,36917,91,2948,0,6003,8836,11306,7217,148,553,1344,23,0,0,15113,3252,2,658,48,1199,678,286,1507,20819,1274,66,7,2900,1359,455
MA,2015,8638,36893,53,2407,0,4664,9571,10552,6366,133,525,1240,30,0,0,13144,2344,1,605,113,1196,564,290,1241,18883,1231,98,17,2603,1398,450
MA,2016,8318,37469,83,2186,0,4502,10210,10470,5713,136,488,1297,16,0,0,12322,2116,3,671,60,1336,553,308,1291,19642,1218,2,12,2775,1335,424
MA,2017,7845,39028,89,2238,2,4456,9430,9922,5387,128,469,1320,6,9,0,11051,1830,5,647,63,1438,530,350,1223,19678,1226,2,9,2640,1354,421
MA,2018,7413,37523,60,1925,0,4108,9340,8880,5366,113,449,1176,9,6,0,9569,1318,8,575,57,1202,395,372,1135,19288,984,0,3,2459,1322,430
MA,2019,7052,37969,67,1719,0,3880,10395,8588,4768,86,464,1077,18,4,3,8595,1250,8,550,52,1058,377,368,903,18366,913,1,53,2172,1326,423
MA,2020,6242,28988,86,1355,0,2238,7184,6355,1405,47,261,643,11,3,2,5088,607,9,513,58,1175,110,300,682,16140,864,1,12,2115,1296,310
MA,2021,6283,30186,77,1244,0,2186,7523,5412,0,35,209,655,38,6,1,4375,683,6,532,61,833,150,286,588,16435,691,0,8,1994,1331,300
MA,2022,6836,30192,85,1317,0,2216,7668,4432,0,61,347,686,9,6,1,5128,757,4,528,47,961,226,306,463,17017,683,0,3,2070,1440,279
MI,2004,11280,115722,347,5556,821,9353,47172,28869,639,1324,1347,6423,116,0,0,25673,25084,27,1955,375,2956,1843,895,2264,31592,5193,0,282,4049,4973,1430
MI,2005,11529,114066,356,6283,2031,9737,47272,33397,636,1423,1251,6500,99,0,0,26535,26037,5,4111,236,3412,1766,801,2414,31914,2754,0,382,4241,5405,1322
MI,2006,11042,114245,387,6348,1738,10985,46222,35342,544,1390,1284,6667,171,0,0,26293,26583,9,4138,230,3382,1169,803,2840,30519,2596,0,595,4491,5568,1249
MI,2007,10749,103243,365,6266,1003,10237,42145,34306,444,1292,1189,6437,161,0,0,27661,23415,11,3502,305,3357,606,624,2740,30105,2302,0,422,4039,5181,1132
MI,2008,10381,94181,323,6863,872,10119,39784,33763,411,1305,983,6494,142,0,0,28508,21762,7,3064,160,3033,954,638,2704,29824,2006,0,296,3912,4905,1061
MI,2009,10031,86941,294,6572,914,9881,39430,34528,338,1024,904,6124,154,0,0,29671,18876,8,2551,223,2939,734,650,2594,31088,1776,0,292,3733,4299,970
MI,2010,10293,83511,292,6456,931,10205,36728,34880,371,978,807,5519,118,0,0,28628,17839,11,2017,205,2802,444,693,2633,31629,1836,0,335,3561,4188,1052
MI,2011,9794,77825,277,6431,717,9211,31900,32557,415,947,717,4970,89,0,0,27523,16607,9,1924,175,3988,327,618,2239,29713,1651,0,285,3301,4052,941
MI,2012,9325,82078,273,5653,559,9092,30771,32607,359,892,562,4497,47,0,0,27467,15897,7,1681,171,4285,386,598,2056,29142,1700,0,220,3323,3905,925
MI,2013,8893,83424,257,5046,429,7650,29435,34841,411,1037,614,4435,72,0,0,26118,13516,4,1558,247,3816,302,850,2139,27653,1646,0,270,2916,4099,668
MI,2014,9039,85259,219,3920,456,7098,28972,34408,437,948,544,4120,72,0,0,24244,12778,10,1319,290,4684,395,671,1723,26741,1508,0,169,2406,3722,627
MI,2015,8787,89590,223,3176,405,6755,28044,36112,450,890,532,3882,71,0,0,21559,11311,10,1173,252,4252,618,674,1538,26359,1516,28,221,2510,3395,567
MI,2016,9878,92207,246,3352,336,6718,28276,39344,455,1028,662,3994,55,0,0,22024,11148,4,1445,171,3016,532,781,1481,28144,1681,0,242,2882,4205,717
MI,2017,9533,88320,239,3225,351,6124,27002,33420,356,1175,659,3972,56,1,0,20148,8983,11,1289,259,2812,236,848,1314,28280,1806,0,140,2866,4634,576
MI,2018,10375,85739,205,3045,252,5820,26348,30521,350,1160,705,3778,44,3,3,18975,4793,14,1221,285,2700,220,988,1206,29467,1992,0,105,2900,4798,685
MI,2019,10200,78053,220,2606,187,5401,24730,14031,331,1162,704,3757,76,40,0,18279,3978,28,1288,349,2005,450,924,1290,29262,2214,0,76,3054,5423,644
MI,2020,11051,49438,201,2489,126,3859,21188,11808,194,692,519,2253,23,19,0,11662,2985,44,1292,362,923,235,812,1083,27324,2164,0,56,2759,9520,524
MI,2021,10636,45406,199,2155,112,3357,21628,12807,0,641,300,1674,44,12,0,9917,2821,55,1307,388,784,108,879,898,26323,2167,0,34,2835,10144,584
MI,2022,10381,51761,187,2168,104,3067,21142,11501,0,686,423,2004,27,13,4,11117,2706,42,1628,375,1111,104,821,917,27160,2166,0,50,2837,7881,567
MN,2004,3545,31477,206,3139,1582,13315,28518,17709,0,2,2357,3613,41,0,0,20237,28484,2,1821,99,501,1353,816,905,17546,2009,0,349,5091,1759,1233
MN,2005,4084,33787,176,3269,2908,15089,30870,20050,0,9,2642,3398,47,0,0,19931,27266,0,2042,91,545,2133,700,1305,20162,2313,0,298,5166,2266,1313
MN,2006,4509,39344,260,3672,4861,14322,28130,19316,0,26,2080,4030,28,0,0,20306,28785,0,1971,92,845,1202,113,1347,19403,2137,0,333,5479,2555,1489
MN,2007,4420,40060,206,3596,4022,15312,32390,19167,0,24,2021,3569,12,0,0,22780,30403,3,1794,115,840,1120,125,1340,19822,2070,0,406,4893,2383,1602
MN,2008,4179,36792,190,3447,3901,14431,30169,18577,0,39,1661,3555,14,0,0,24910,27959,4,1503,113,861,1362,117,1317,18526,1728,0,360,4789,2306,1554
MN,2009,4035,35050,186,3025,3047,13298,26836,17303,0,51,1383,3097,19,0,0,26754,26460,8,1112,101,763,1089,699,1223,17543,1927,0,432,4402,1882,1460
MN,2010,4019,34547,177,2833,2091,13095,24978,17503,1,39,1179,2721,19,0,0,24552,22990,5,980,90,664,966,636,1037,16873,1736,0,554,3908,1690,1463
MN,2011,3723,33289,167,2993,2597,13184,24543,17726,1,30,1081,2382,22,0,0,24268,20644,2,977,69,644,885,655,1196,16327,1674,0,571,3886,1688,1331
MN,2012,4626,34698,187,3219,4458,13005,24007,19694,0,33,1193,2312,32,0,0,25761,20597,7,1458,95,830,1045,661,1415,16344,1876,0,773,4060,2259,1414
MN,2013,3785,29357,101,2638,2150,10832,21226,19023,0,25,984,2145,33,0,0,24895,14072,5,1015,91,685,721,564,1196,14880,1895,0,323,3213,1736,1201
MN,2014,3783,27784,83,2411,1197,10149,20586,19154,1,64,878,2286,28,0,0,24079,11833,13,1086,87,634,617,543,1151,14770,1723,0,184,3094,1797,1159
MN,2015,3980,30021,120,2318,1405,10660,21446,17879,102,40,1006,2782,29,0,0,24719,10132,10,1190,122,827,568,705,1241,14876,1738,6,445,3380,1931,1124
MN,2016,3733,30049,93,2211,956,9515,20255,11128,6,29,1025,2260,12,0,0,22769,8457,11,1324,105,605,374,589,1198,14501,1774,43,201,3231,1852,1105
MN,2017,3949,31034,97,2306,891,9614,21208,20598,12,23,1425,2644,13,148,2,22665,7817,6,1544,108,679,354,601,1157,14884,2021,41,213,3122,2221,893
MN,2018,3836,33813,101,2044,466,9280,20367,20856,31,16,1089,3464,30,101,0,20193,7073,13,1620,103,665,155,596,1013,14938,1989,7,430,2694,1879,883
MN,2019,3936,33371,108,2080,662,9174,20600,19649,28,26,1116,4618,37,121,0,22379,6778,27,1636,101,652,163,686,1166,15592,2017,4,367,2717,2263,829
MN,2020,4024,26713,139,2045,454,5756,18044,15138,19,53,956,3119,18,14,1,16284,4433,36,1291,142,358,31,525,1113,13590,2445,0,265,2576,2501,555
MN,2021,3930,32547,135,1844,261,4689,19410,14283,0,71,703,2494,14,50,0,12836,3713,49,952,138,382,72,552,830,12900,2079,0,253,2314,2519,470
MN,2022,3942,30831,109,1624,250,4347,20452,12624,0,136,668,2460,8,58,0,14523,3192,46,951,176,160,88,498,857,12869,2180,0,59,2013,2647,437
MS,2004,1523,39629,166,2485,701,9271,13866,16024,7094,710,1180,2529,396,0,0,10032,3213,29,576,205,4470,104,250,606,13206,1045,129,109,1503,926,394
MS,2005,1548,40357,123,2597,518,9654,11299,18499,6881,667,985,1875,376,0,0,8570,2945,11,515,189,4450,106,238,571,12951,1070,92,149,1371,976,442
MS,2006,1434,39090,119,2549,503,9542,11973,18037,7879,847,1119,2442,434,0,0,7388,3290,14,579,185,4659,177,238,705,13144,1004,159,114,1391,1272,481
MS,2007,1226,31838,124,2135,577,7591,10857,11709,6322,778,824,1460,439,0,0,6909,3034,11,521,107,2704,125,168,598,11540,758,71,77,1206,876,363
MS,2008,1400,39380,127,2878,510,9258,14710,13385,7438,869,1050,2205,327,0,0,9851,2879,28,581,164,4501,126,207,754,11990,865,86,160,1191,1213,494
MS,2009,1401,44628,127,3186,519,10109,14929,13275,6931,836,1007,2284,259,0,0,10994,2665,24,438,127,3879,227,174,738,14285,865,232,127,1233,1223,455
MS,2010,1469,45538,98,3155,500,8586,13923,11980,6137,598,883,1896,199,0,0,10624,2335,13,440,144,3994,163,178,703,13497,807,202,153,1208,1100,466
MS,2011,1463,36713,110,2723,370,7670,12789,11716,5232,565,763,1781,227,0,0,9886,1964,13,437,192,4541,149,175,718,12212,854,197,86,1042,1030,376
MS,2012,1422,35763,72,2403,374,7723,12706,12169,6322,652,635,1647,223,0,0,9498,2229,14,425,102,3991,196,153,534,11271,855,238,140,1089,1048,330
MS,2013,1250,209078,89,1673,191,36200,60349,130713,114975,552,492,1156,170,0,0,69255,91269,11,328,135,33213,157,104,429,28804,10605,10169,244,20753,886,259
MS,2014,1214,29197,80,1663,129,5345,10054,10396,4616,529,544,1267,101,0,0,9559,1233,13,337,135,3365,124,110,446,8176,682,130,112,816,948,208
MS,2015,1077,30266,57,1634,107,4885,9603,10894,4722,475,426,1175,100,0,0,8752,1351,15,370,151,2915,45,112,400,7780,786,136,110,762,1090,215
MS,2016,1088,31797,70,1562,91,4487,8909,12146,4057,478,444,1157,67,0,0,7660,1088,16,379,133,2617,48,99,504,7908,804,75,49,892,1217,230
MS,2017,1044,30473,49,1443,92,4512,8556,11859,4191,433,404,952,75,0,0,7629,1055,16,386,133,2419,28,72,454,7122,871,44,110,746,1248,214
MS,2018,978,27767,43,1298,90,3778,7014,10099,3455,338,374,850,80,1,1,6936,863,12,384,91,2295,19,95,363,5966,814,8,77,628,1127,160
MS,2019,1010,27192,41,1223,72,3936,6663,10406,2884,338,360,815,40,2,0,6604,787,19,422,144,2368,75,77,350,5978,725,22,240,659,1113,173
MS,2020,1090,21031,60,1062,77,3827,6905,10351,1689,229,188,530,29,0,0,5248,487,25,431,213,1845,27,95,304,5202,713,55,21,603,1250,150
MS,2021,842,18320,25,649,26,3686,7200,8816,0,223,128,492,9,1,0,3671,289,11,312,85,578,17,89,147,4681,585,0,18,681,949,56
MS,2022,851,16965,28,682,37,3713,7125,8069,0,247,136,510,2,3,0,4075,335,5,268,76,548,3,84,145,4478,469,0,3,431,882,64
MO,2004,10943,91103,446,6078,1591,15030,34537,39841,2104,140,3482,4296,237,0,0,30360,9025,54,4219,349,5501,1104,604,2037,34904,2442,0,639,9083,3831,3149
MO,2005,11629,123527,497,6522,2070,15930,35543,42366,1028,145,3803,4493,272,0,0,31294,11820,65,4048,365,4798,1301,570,2188,38405,2674,0,358,8909,4151,3401
MO,2006,12479,125351,472,7220,1932,16240,39259,45121,114,166,3199,4627,195,0,0,30598,15256,85,4230,354,5206,1085,744,2459,38107,3273,0,342,8164,4150,2992
MO,2007,9784,115765,354,6677,1297,15293,34087,39152,324,163,2552,4161,113,0,0,31199,15143,71,4023,326,4561,656,587,2304,36748,3196,0,276,7414,3600,2587
MO,2008,9541,106781,402,7357,1879,15805,35046,36792,617,244,2577,3748,125,0,0,35402,14779,54,3413,367,4774,642,573,2461,37429,3168,0,252,7583,4191,2518
MO,2009,9200,109121,347,6956,1846,14603,34685,36864,600,232,2320,3437,103,0,0,36330,13550,44,2904,396,4640,574,551,2425,36674,3164,0,173,6830,3934,2434
MO,2010,8285,99011,340,6450,2026,13590,30659,35702,621,242,2095,3001,104,0,0,33662,11571,58,1558,152,4307,339,405,1961,31724,2955,0,221,5620,3480,2151
MO,2011,7987,101650,297,6688,1802,13262,30001,36061,639,256,1781,2728,109,0,0,33694,11110,59,1629,256,3760,307,400,2139,31410,2755,0,279,5445,3437,2095
MO,2012,7609,103830,330,5897,1621,12603,28587,36223,706,289,1766,2725,121,0,0,36319,10424,62,1770,294,3602,387,406,1985,29820,2752,0,317,5272,3330,1909
MO,2013,7192,102643,213,5390,1132,11470,25378,36260,609,300,1609,2709,192,0,0,33966,8392,49,1773,243,3305,223,291,1966,27641,2588,0,402,4762,3142,1617
MO,2014,7050,93600,212,4648,1033,9494,23066,34541,453,333,1480,2300,116,0,0,32029,7266,54,1849,255,2987,377,503,1770,25978,2699,0,549,4303,2815,1472
MO,2015,7746,76204,194,4656,929,8466,20752,37733,358,330,1395,2520,76,0,0,30582,6330,52,2084,275,2786,415,597,2010,25005,3044,0,971,4457,3268,1415
MO,2016,7645,77221,235,4317,833,8293,20110,42613,354,371,1402,2507,75,0,0,28038,5599,56,2405,342,2726,416,544,1943,24195,3237,0,1227,4154,3768,1360
MO,2017,7282,79647,185,4093,655,7252,19630,43038,323,304,1303,2039,96,15,1,26060,4431,47,2621,355,2667,372,610,1608,22143,2994,1,1097,4032,3702,1330
MO,2018,7137,75654,226,3645,545,6606,15835,39492,272,251,1497,2293,64,4,4,22695,3511,31,2594,388,2386,274,550,1457,21105,3050,0,774,3712,3893,1220
MO,2019,7227,76458,180,3597,474,8126,18710,39541,322,271,1180,2125,36,8,2,20947,3430,39,2674,341,2023,163,540,1326,20705,3711,0,1018,3566,3924,1000
MO,2020,7360,45326,143,3028,519,5670,16161,29816,146,224,846,1709,14,7,0,15686,2092,45,2213,413,1148,43,456,1158,17532,3283,0,413,3766,3305,490
MO,2021,7170,42010,151,2437,312,4783,16217,26516,0,186,793,1339,15,4,0,11714,2241,28,2125,286,869,83,409,904,16085,2205,0,138,3518,2593,245
MO,2022,7082,41955,139,2691,238,4521,17540,23086,0,274,951,1529,19,1,1,12187,2040,42,2010,329,813,66,420,802,15851,2423,0,129,3108,2599,192
MT,2004,209,592,10,92,50,260,328,153,27,2,25,51,0,0,0,664,307,0,48,0,47,3,8,10,1032,2,0,0,228,25,26
MT,2005,764,5236,53,278,511,2513,3598,1803,0,18,158,196,2,0,0,3849,3170,1,267,14,364,2,37,57,3785,29,0,12,978,127,83
MT,2006,804,3164,50,349,231,1171,1716,1799,0,23,106,160,0,0,0,3457,2226,2,266,10,155,6,39,51,3937,33,0,4,1169,103,90
MT,2007,912,5360,64,296,662,2987,4045,1805,0,30,68,191,0,0,0,3834,5552,3,265,12,292,30,31,54,4294,32,0,43,1248,109,77
MT,2008,785,5778,58,369,534,3110,4549,1629,0,33,63,174,0,0,0,4043,5576,0,232,12,319,12,25,52,4137,34,0,9,1137,124,68
MT,2009,821,5911,33,263,571,3342,4669,1565,0,40,61,195,0,0,0,4187,4899,1,247,18,333,1,33,54,3947,20,0,12,1042,67,61
MT,2010,770,5919,29,264,497,3518,4594,1699,0,35,39,184,0,0,0,3956,4507,2,222,9,373,3,32,63,3856,16,0,5,974,90,79
MT,2011,774,6114,34,239,587,3560,4398,1830,0,35,45,189,0,0,0,3774,4032,0,164,10,330,5,43,46,3631,6,0,4,985,72,65
MT,2012,821,7324,46,335,518,3617,4641,2157,0,41,46,147,0,0,0,4137,4027,0,199,9,385,4,54,59,4065,28,0,9,1095,94,100
MT,2013,855,6596,14,318,521,3385,4350,2018,0,39,61,219,0,0,0,4235,3045,0,208,15,302,7,45,65,3607,33,0,32,931,90,84
MT,2014,843,6150,37,280,413,3143,4496,2190,0,40,62,271,0,0,0,4382,2190,3,227,13,269,8,52,50,3810,36,0,8,859,100,89
MT,2015,956,6122,26,243,369,2837,4221,2400,29,56,96,250,2,0,0,4354,1851,5,275,10,255,6,60,55,3890,46,11,8,909,101,86
MT,2016,1120,7246,43,370,335,3795,5052,2829,927,32,115,260,0,0,0,4301,2231,1,380,19,897,3,54,77,4311,65,1,52,978,126,131
MT,2017,1266,7299,41,313,320,3573,4991,3415,267,38,112,267,0,0,0,4501,2422,1,320,21,629,9,58,107,4662,207,117,33,1037,112,113
MT,2018,1258,7246,30,334,307,2711,4196,3103,308,43,116,208,0,0,0,3870,1659,3,371,14,640,13,81,120,4372,172,46,24,998,88,96
MT,2019,1681,7072,20,345,285,2431,3861,2839,309,36,179,189,1,0,0,4056,1023,2,292,23,679,5,65,89,4304,247,1,22,907,81,115
MT,2020,1995,6662,35,308,185,2349,3943,2398,447,32,120,127,1,0,0,3404,1342,2,321,28,868,4,64,113,4448,191,0,3,1033,72,120
MT,2021,1643,5703,55,320,197,2229,4212,1759,0,29,92,151,0,0,0,3136,1060,3,329,23,459,3,73,102,5015,237,0,29,882,54,126
MT,2022,1531,5818,50,340,194,2231,3871,1486,0,21,89,140,0,0,0,3647,952,4,300,18,414,2,73,127,4771,245,0,6,823,51,189
NE,2004,1032,22859,112,1005,390,4457,14149,10832,0,88,728,1813,23,0,0,8759,9761,15,395,36,1676,312,197,317,9541,1051,1,23,2761,1098,614
NE,2005,1261,24422,125,945,507,4221,14467,11253,3,77,795,1817,26,0,0,8421,9403,21,363,41,1647,148,156,321,9822,1114,1,58,2897,1161,593
NE,2006,1121,20818,113,1027,446,4263,13326,10523,0,78,595,1796,18,0,0,7803,12092,16,359,46,1679,236,158,318,9168,1088,2,42,3099,1139,642
NE,2007,1291,19018,105,916,416,4449,13326,10117,0,103,565,1859,11,0,0,8262,12030,16,414,49,1641,182,148,298,9150,899,0,45,2889,1097,630
NE,2008,1389,17557,82,934,486,4368,13931,10567,0,113,463,1704,19,0,0,8313,12953,7,387,43,1556,212,149,398,9277,835,1,35,2735,1117,603
NE,2009,1414,16653,94,931,332,4206,13519,10068,0,104,449,1589,19,0,0,9073,11396,6,369,36,1491,180,160,379,9502,762,0,32,3020,922,640
NE,2010,1503,16459,78,880,298,3763,12658,10197,0,54,501,1474,10,0,0,8810,10686,8,361,62,1393,148,165,335,8990,796,0,37,2821,873,617
NE,2011,1504,16208,89,924,224,3808,12239,10530,0,75,307,1247,4,0,0,9760,10374,2,366,54,1369,143,214,355,8483,702,1,18,2610,847,568
NE,2012,1519,15255,87,868,241,3380,10746,10534,2,77,337,1474,8,0,0,9636,8931,8,369,31,1298,198,204,334,7876,786,0,28,2598,920,577
NE,2013,1487,14297,65,788,199,2916,9434,10586,0,82,392,1389,6,0,0,9139,7302,3,337,44,1269,165,176,276,7601,660,0,53,2199,974,498
NE,2014,1729,15556,56,762,161,3208,8621,12149,1,94,335,1440,6,0,0,9761,7201,5,368,45,1253,130,149,295,7189,711,0,62,2401,1030,473
NE,2015,908,10096,51,431,130,1883,5967,9253,28,28,184,868,2,0,0,5352,4502,1,253,10,901,49,114,127,5170,302,2,14,1337,673,278
NE,2016,1479,14737,58,602,144,2808,7497,12383,31,100,282,1408,2,0,0,9131,5217,0,424,40,1289,131,267,303,8479,663,0,16,2249,1135,464
NE,2017,1234,12846,37,553,169,2292,5032,10176,178,51,271,1072,1,0,0,6647,3413,0,357,28,1139,75,205,273,6853,543,0,15,1914,814,326
NE,2018,1599,15930,72,517,131,2608,6779,13716,139,67,316,1382,0,0,0,7722,4123,0,472,42,1427,133,236,332,8941,836,0,25,2254,1108,434
NE,2019,1705,14457,63,526,106,2545,6418,12294,226,70,289,1252,3,1,0,7478,3241,1,479,34,1401,112,273,367,8914,735,5,12,2264,1143,412
NE,2020,1666,11407,77,462,113,2397,5389,8912,331,37,235,890,2,2,0,5844,2457,3,426,57,1251,36,248,316,7903,610,10,11,2082,1073,325
NE,2021,1466,10508,51,257,95,1577,5114,7930,0,22,143,431,2,1,0,2414,2098,7,221,22,655,31,125,91,4515,241,0,620,1393,527,134
NE,2022,1417,10419,63,242,54,1612,4864,7352,0,14,149,478,0,2,0,3031,2135,4,247,30,679,6,124,66,4574,313,0,752,1366,566,107
NV,2004,3849,58577,128,4942,3485,2733,9322,10572,259,364,578,2713,53,0,0,12518,7419,21,2031,143,1200,5301,205,1209,16110,1874,73,2403,1775,1806,1585
NV,2005,2707,58532,147,4904,3019,2535,9774,11994,155,443,565,2495,53,0,0,11816,7414,12,2062,205,1677,4635,197,1211,18149,1904,161,1493,1894,2221,1369
NV,2006,2870,62142,149,2982,3415,2979,11174,13888,193,453,1005,2870,140,0,0,10073,8503,10,2212,162,1772,4612,207,1662,19153,1906,27,1777,2247,2462,1314
NV,2007,3553,60043,139,2949,3575,3350,12875,14660,139,547,1333,2336,110,0,0,10828,9405,5,1845,157,1700,5430,191,1740,19085,1760,34,3891,2507,2407,1399
NV,2008,4283,56333,221,3493,3189,3157,14445,14886,201,523,1017,1942,35,0,0,12715,10016,17,1119,146,1493,4659,263,1836,18586,1608,17,2438,2983,2054,1594
NV,2009,5219,59110,155,3129,2720,3430,15489,17240,151,531,1298,1839,33,0,0,14579,10358,20,743,151,1611,4562,203,2064,18839,2018,10,2160,3024,1970,1605
NV,2010,5367,56482,123,2822,2352,2771,14396,17892,245,455,999,1690,40,0,0,13483,9097,16,618,125,1424,3742,168,1761,18257,1637,4,1724,2752,1757,1452
NV,2011,4463,52473,391,2779,1960,2850,12268,16365,208,418,721,1410,31,0,0,11403,7822,19,557,112,1230,3946,176,1539,16493,1419,6,2096,2353,1563,1267
NV,2012,4782,52298,264,2981,1492,2547,11618,15537,149,436,760,1533,52,0,0,11975,7281,22,668,120,1087,3620,199,1537,16420,1485,79,1685,1895,1569,1280
NV,2013,4917,47879,142,2947,864,1643,9251,11952,189,414,755,1484,46,0,0,11196,6102,11,810,128,986,3554,219,1624,14779,1513,2,2074,1733,1649,1091
NV,2014,5610,44121,65,2738,733,1595,8095,12548,212,344,626,1514,50,0,0,9990,4929,0,854,124,949,3827,279,1809,14395,1243,2,1795,1502,1493,1002
NV,2015,5886,42421,60,2688,604,1336,7675,11670,234,338,620,1640,35,0,0,8956,3714,5,810,131,971,3308,341,1996,14005,1525,112,1758,1494,1470,798
