state_abbr,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Population,Aggravated Assault_rate,All Other Offenses (Except Traffic)_rate,Arson_rate,Burglary_rate,Curfew and Loitering Law Violations_rate,Disorderly Conduct_rate,Driving Under the Influence_rate,Drug Abuse Violations - Grand Total_rate,Drunkenness_rate,Embezzlement_rate,Forgery and Counterfeiting_rate,Fraud_rate,Gambling - Total_rate,Human Trafficking - Commercial Sex Acts_rate,Human Trafficking - Involuntary Servitude_rate,Larceny - Theft_rate,Liquor Laws_rate,Manslaughter by Negligence_rate,Motor Vehicle Theft_rate,Murder and Nonnegligent Manslaughter_rate,Offenses Against the Family and Children_rate,Prostitution and Commercialized Vice_rate,Rape_rate,Robbery_rate,Simple Assault_rate,"Stolen Property: Buying, Receiving, Possessing_rate",Suspicion_rate,Vagrancy_rate,Vandalism_rate,"Weapons: Carrying, Possessing, Etc._rate","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)_rate"
HI,2019,731,18630,42,437,216,1263,5106,2995,0,5,110,270,101,3,0,2934,2224,6,404,45,15,119,145,260,3964,456,0,279,334,298,184,1415615,51.63833387,1316.035787,2.966908376,30.86997524,15.25838593,89.21917329,360.6912897,211.5688234,0,0.353203378,7.770474317,19.07298241,7.134708236,0.211922027,0,207.2597422,157.1048626,0.423844054,28.53883295,3.178830402,1.059610134,8.406240397,10.24289796,18.36657566,280.0196381,32.21214808,0,19.70874849,23.59398565,21.05092133,12.99788431
HI,2020,797,30857,50,468,124,1208,3481,2539,0,7,67,203,53,2,0,1999,2754,3,363,78,20,65,129,242,3671,503,0,545,268,429,128,1451181,54.92078521,2126.337101,3.445469586,32.24959533,8.544764575,83.24254521,239.8735926,174.9609456,0,0.482365742,4.616929246,13.98860652,3.652197762,0.137818783,0,137.7498741,189.7764648,0.206728175,25.0141092,5.374932555,1.378187835,4.479110462,8.889311533,16.6760728,252.966377,34.66142404,0,37.55561849,18.46771698,29.56212905,8.820402141
HI,2021,707,19229,39,276,73,862,3169,1850,0,8,72,191,43,0,0,1304,1391,2,191,34,11,31,90,184,4193,547,0,343,149,133,107,1446745,48.86832165,1329.12158,2.695706569,19.07730803,5.045809732,59.58202724,219.0434389,127.8732603,0,0.55296545,4.97668905,13.20205012,2.972189294,0,0,90.13336835,96.14686762,0.138241363,13.20205012,2.350103163,0.760327494,2.142741119,6.220861313,12.71820535,289.8230165,37.80901265,0,23.70839367,10.29898151,9.193050607,7.395912894
HI,2022,630,14234,44,241,61,878,2995,1350,0,7,70,210,45,5,2,1643,884,4,190,36,18,2,71,244,4306,468,0,210,113,141,125,1439399,43.76826717,988.8849443,3.056831358,16.74309903,4.237879837,60.99768028,208.0729527,93.78914394,0,0.48631408,4.863140797,14.58942239,3.126304798,0.3473672,0.13894688,114.1448618,61.41452092,0.27789376,13.19995359,2.501043838,1.250521919,0.13894688,4.932614237,16.95151935,299.1526325,32.5135699,0,14.58942239,7.850498715,9.795755034,8.684179995
ID,2014,1178,22972,63,1012,279,1671,7450,7272,377,64,129,381,0,0,0,5468,2498,2,213,16,930,21,109,92,5067,233,0,21,1054,355,248,1632248,72.17040548,1407.384172,3.859707593,62.00038229,17.09299077,102.374149,456.4257392,445.5205336,23.09698036,3.920972793,7.903210787,23.34204116,0,0,0,334.998113,153.0404693,0.1225304,13.04948758,0.980243198,56.9766359,1.286569198,6.677906789,5.63639839,310.4307679,14.27479158,0,1.286569198,64.57352069,21.74914596,15.19376957
ID,2015,1388,22994,68,1019,205,1760,7503,8353,744,49,122,372,0,0,0,5452,2239,6,225,19,1106,19,125,112,5193,310,14,16,1043,368,245,1652495,83.99420271,1391.471684,4.114989758,61.66433181,12.40548383,106.5056173,454.0407081,505.4780801,45.02282912,2.965213208,7.382775742,22.51141456,0,0,0,329.9253553,135.4920892,0.363087332,13.61577493,1.14977655,66.92909812,1.14977655,7.564319408,6.77763019,314.2520855,18.75951213,0.847203774,0.968232884,63.11668114,22.26935634,14.82606604
ID,2016,1320,21734,48,923,81,1648,7237,9344,346,50,134,328,0,0,0,4703,1516,1,224,26,877,20,130,89,4950,274,5,10,891,367,234,1684036,78.38312245,1290.589987,2.850295362,54.80880456,4.809873423,97.86014076,429.741407,554.8574971,20.54587907,2.969057669,7.957074552,19.47701831,0,0,0,279.2695643,90.02182851,0.059381153,13.30137836,1.543909988,52.07727151,1.187623067,7.719549938,5.28492265,293.9367092,16.27043602,0.296905767,0.593811534,52.90860765,21.79288329,13.89518989
ID,2017,1445,23832,54,956,143,1856,7483,10828,620,48,150,324,0,0,0,4581,1207,5,245,19,762,17,157,72,5105,227,7,15,895,337,217,1719745,84.02408497,1385.786846,3.140000407,55.58963684,8.315186263,107.922977,435.122649,629.6282298,36.05185653,2.791111473,8.722223353,18.84000244,0,0,0,266.3767012,70.18482391,0.290740778,14.24629814,1.104814958,44.30889463,0.988518647,9.129260443,4.186667209,296.8463348,13.19963134,0.40703709,0.872222335,52.04259934,19.59592847,12.61814978
ID,2018,1480,24897,61,868,114,1532,8017,11841,492,44,140,368,1,0,0,4251,1125,2,206,21,773,12,197,96,5144,230,3,13,878,330,268,1752074,84.47131799,1421.001624,3.481588106,49.5412865,6.506574494,87.43922916,457.5719975,675.8276192,28.08100571,2.511309454,7.99053008,21.00367907,0.057075215,0,0,242.6267384,64.20961672,0.11415043,11.75749426,1.198579512,44.11914109,0.684902578,11.24381733,5.479220627,293.5949052,13.12729942,0.171225645,0.741977793,50.11203865,18.8348209,15.29615758
ID,2019,1579,22041,46,772,132,1485,7908,11189,650,41,107,352,0,0,0,3817,1286,2,195,19,625,12,208,84,4404,180,9,11,798,315,298,1789060,88.25863861,1231.987748,2.571182632,43.151152,7.378176249,83.0044828,442.0198316,625.4122277,36.3319285,2.291706259,5.980794384,19.67513666,0,0,0,213.3522632,71.88132315,0.111790549,10.89957855,1.062010218,34.93454663,0.670743295,11.62621712,4.695203068,246.1627894,10.06114943,0.503057472,0.614848021,44.60442914,17.6070115,16.65679183
ID,2020,1602,17222,51,687,115,1527,7054,9895,426,38,64,430,0,0,0,2859,1030,8,172,24,603,11,158,68,3654,207,18,27,789,304,242,1849339,86.62554567,931.2516526,2.757742091,37.14840816,6.218438047,82.57004259,381.4335825,535.0560389,23.03525746,2.054788224,3.460695957,23.25155096,0,0,0,154.5957772,55.69557555,0.432586995,9.300620384,1.297760984,32.60624472,0.594807118,8.543593143,3.676989454,197.5841098,11.19318849,0.973320738,1.459981107,42.66389234,16.43830579,13.08575659
ID,2021,1565,18938,36,643,144,1509,7457,10808,0,35,80,401,0,0,0,2252,1041,5,191,31,525,15,146,67,3749,181,0,5,797,354,218,1904537,82.17220248,994.3624093,1.890223188,33.76148639,7.560892752,79.2318553,391.5387309,567.487006,0,1.837716988,4.200495974,21.05498607,0,0,0,118.2439617,54.65895386,0.262530998,10.02868414,1.62769219,27.56575483,0.787592995,7.665905152,3.517915378,196.8457426,9.50362214,0,0.262530998,41.84744114,18.58719468,11.44635153
ID,2022,1647,19381,50,687,121,1519,7594,10363,0,27,70,405,0,0,0,2452,1066,2,157,25,497,11,151,74,3728,188,0,4,772,426,200,1938996,84.9408663,999.5379052,2.578654108,35.43070744,6.24034294,78.33951179,391.6459859,534.4518503,0,1.392473218,3.610115751,20.88709827,0,0,0,126.4571974,54.97690557,0.103146164,8.096973898,1.289327054,25.63182183,0.567303904,7.787535405,3.816408079,192.2644503,9.695739445,0,0.206292329,39.81441942,21.970133,10.31461643
IL,2014,1908,18653,74,1673,96,9636,3641,541,0,0,214,267,1356,0,0,10656,462,7,2545,330,309,924,348,2058,16503,74,0,47,2885,3337,534,12885092,14.80781045,144.7641973,0.574307114,12.98399732,0.745047067,74.78409933,28.25746219,4.198650658,0,0,1.660834086,2.072162155,10.52378982,0,0,82.70022441,3.585539009,0.054326349,19.75150818,2.561099292,2.398120246,7.171078018,2.700795617,15.97194649,128.0782473,0.574307114,0,0.364762626,22.39021654,25.89814648,4.144324309
IL,2015,1803,15587,65,1318,129,6753,3651,405,0,0,173,225,914,0,0,8831,292,9,2986,272,278,304,280,1729,14953,75,0,14,2332,3487,414,12859585,14.02067018,121.2091992,0.505459546,10.24916434,1.003142792,52.51335871,28.3912739,3.149401789,0,0,1.345300023,1.74966766,7.107538851,0,0,68.67251159,2.270679808,0.069986706,23.22003393,2.115153794,2.161811598,2.363995417,2.1773642,13.44522393,116.2790246,0.583222553,0,0.10886821,18.13433326,27.11596059,3.219388495
IL,2016,1826,11098,67,987,79,3744,2921,369,0,0,127,182,456,0,0,8041,166,9,3505,287,252,184,276,1629,13329,88,0,4,2065,3232,302,12821709,14.24147124,86.55632412,0.522551245,7.697881772,0.616142513,29.20047554,22.78167442,2.877931483,0,0,0.990507584,1.419467561,3.556468174,0,0,62.71394866,1.294679204,0.070193451,27.33644945,2.238391154,1.965416623,1.435066105,2.152599158,12.7050146,103.9565007,0.686335963,0,0.031197089,16.10549732,25.20724811,2.355380238
IL,2017,1804,11818,58,876,51,2976,2338,342,0,1,106,227,457,0,1,7581,131,9,3113,278,265,141,261,1459,12998,63,0,18,2068,4289,236,12779893,14.11592413,92.47338769,0.453837916,6.854517483,0.399064374,23.28657994,18.29436287,2.676078743,0,0.007824792,0.829427915,1.776227704,3.575929783,0,0.007824792,59.31974548,1.025047706,0.070423125,24.3585764,2.175292078,2.073569787,1.103295622,2.04227062,11.41637101,101.7066418,0.492961874,0,0.14084625,16.18166913,33.56053138,1.846650829
IL,2018,2269,14037,63,1008,50,3980,2815,467,0,0,124,247,706,0,0,9497,183,15,4267,416,350,115,438,2415,16678,86,0,29,2684,6795,349,12724685,17.83148267,110.3131433,0.495100665,7.921610633,0.392937035,31.27778802,22.12235509,3.67003191,0,0,0.974483848,1.941108955,5.54827094,0,0,74.6344605,1.438149549,0.117881111,33.5332466,3.269236134,2.750559248,0.903755181,3.44212843,18.97885881,131.0680775,0.675851701,0,0.227903481,21.09286006,53.40014311,2.742700507
IL,2019,370,3019,16,74,24,639,392,536,0,0,16,33,0,0,0,453,73,2,12,17,211,63,19,72,1490,90,0,21,312,136,10,12667017,2.920971844,23.83355134,0.126312296,0.584194369,0.189468444,5.044597319,3.094651251,4.231461914,0,0,0.126312296,0.26051911,0,0,0,3.576216879,0.57629985,0.015789037,0.094734222,0.134206814,1.665743403,0.497354665,0.149995851,0.568405332,11.76283256,0.710506665,0,0.165784888,2.463089771,1.073654516,0.078945185
IL,2020,359,2298,18,67,24,480,348,419,0,0,6,39,0,0,0,533,41,1,19,16,140,1,18,58,1185,59,0,3,383,182,15,12790357,2.806802031,17.96666035,0.140731021,0.523832134,0.187641361,3.752827228,2.72079974,3.275905434,0,0,0.04691034,0.304917212,0,0,0,4.167201901,0.320553992,0.00781839,0.148549411,0.125094241,1.094574608,0.00781839,0.140731021,0.453466623,9.264792218,0.461285013,0,0.02345517,2.994443392,1.42294699,0.117275851
IL,2021,2822,24392,82,1033,160,2594,11312,9599,0,39,163,1277,0,0,0,5907,1308,18,354,149,271,72,111,487,15478,218,0,1,2870,2796,55,12690341,22.23738511,192.209177,0.64616073,8.140049192,1.260801424,20.44074308,89.13866066,75.64020541,0,0.307320347,1.28444145,10.06277136,0,0,0,46.54721256,10.30705164,0.14184016,2.78952315,1.174121326,2.135482411,0.567360641,0.874680988,3.837564333,121.9667777,1.71784194,0,0.007880009,22.61562554,22.03250488,0.433400489
IL,2022,4584,38948,100,1600,224,3768,14339,12522,0,80,272,1931,3,0,1,9686,1616,23,739,282,450,83,181,881,25587,313,0,4,4125,4408,117,12582515,36.43150833,309.5406602,0.794753672,12.71605875,1.780248225,29.94631836,113.959729,99.51905482,0,0.635802938,2.161729988,15.34669341,0.02384261,0,0.007947537,76.97984068,12.84321934,0.182793345,5.873229637,2.241205355,3.576391524,0.659645548,1.438504146,7.001779851,203.3536221,2.487578994,0,0.031790147,32.78358897,35.03274186,0.929861796
IN,2014,6289,49646,106,2706,390,4162,56467,47694,16105,131,946,1453,17,0,0,20708,6491,13,1343,203,1397,508,184,1236,13910,720,201,236,1490,1695,914,6596019,95.34538939,752.6661157,1.607029937,41.02474538,5.912657316,63.09866603,856.0769761,723.0725078,244.1624259,1.986046432,14.34198416,22.02843867,0.257731216,0,0,313.9469428,98.40784267,0.197088577,20.36076609,3.077613937,21.17944172,7.701615171,2.789561401,18.7385755,210.8847776,10.91567505,3.047292617,3.577915709,22.58938308,25.69731834,13.85684304
IN,2015,6250,58514,98,2467,351,4009,16083,18329,4841,145,950,1733,16,0,0,19162,5905,13,1482,214,1413,438,202,1269,13599,583,143,170,1454,2181,991,6611442,94.53308371,885.0414176,1.482278753,37.3140988,5.308977981,60.63730121,243.2600936,277.2315026,73.22154531,2.193167542,14.36902872,26.21213345,0.242004694,0,0,289.830872,89.31485748,0.196628814,22.41568481,3.236812786,21.37203956,6.624878506,3.055309265,19.19399732,205.6888648,8.818046048,2.162916955,2.571299877,21.99217659,32.98826489,14.98916575
IN,2016,6070,56019,118,2427,254,3931,15862,20431,4588,211,1409,1836,21,0,0,17590,4685,14,1743,171,1217,321,202,1377,13414,576,20,83,1539,2496,889,6637898,91.44461093,843.9267973,1.777671184,36.56277936,3.82651255,59.22055446,238.9611892,307.7932201,69.11826605,3.178717118,21.22659914,27.65935843,0.316365211,0,0,264.9935266,70.57957203,0.210910141,26.2583125,2.576116716,18.33411722,4.835868222,3.043132028,20.74451882,202.0820446,8.677445782,0.301300201,1.250395833,23.18505045,37.60226505,13.39279392
IN,2017,6975,55417,94,2335,218,3774,15162,29394,4013,299,1275,2011,14,0,0,15310,4180,15,1784,194,1205,303,234,1444,12320,391,34,349,1288,2426,733,6662068,104.6972201,831.8287955,1.410973289,35.04917692,3.272257203,56.64907653,227.5869895,441.2143497,60.23655117,4.488095889,19.13820153,30.18582218,0.210144958,0,0,229.8085219,62.74328031,0.225155312,26.77847179,2.912008704,18.08747674,4.548137305,3.512422869,21.67495138,184.927563,5.86904847,0.510352041,5.238613596,19.33333614,36.41511915,11.00258959
IN,2018,6744,49934,83,2024,168,3830,14089,30052,4073,223,1062,1829,8,1,4,13381,3378,13,1675,205,1279,215,238,1253,12618,430,43,45,1286,2400,712,6698481,100.6795421,745.4525884,1.239086891,30.21580564,2.508031298,57.1771421,210.3312676,448.6390273,60.80483023,3.329112974,15.85434071,27.30469789,0.119430062,0.014928758,0.059715031,199.7617072,50.42934361,0.19407385,25.0056692,3.060395334,19.09388114,3.209682912,3.553044339,18.70573343,188.371065,6.419365823,0.641936582,0.671794098,19.19838244,35.82901855,10.6292755
IN,2019,5372,47267,101,1701,102,3585,13544,24864,3528,137,875,1839,48,3,132,11688,3000,16,1324,123,844,98,193,908,11950,463,12,40,960,2559,533,6731010,79.80971652,702.2274517,1.500517753,25.27109602,1.515374364,53.26095192,201.217945,369.3947862,52.41412507,2.035355764,12.99953499,27.32130839,0.713117348,0.044569834,1.961072707,173.6440742,44.56983424,0.237705783,19.67015351,1.827363204,12.53898003,1.455947919,2.867326003,13.48980316,177.5365064,6.878611085,0.178279337,0.594264457,14.26234696,38.01806861,7.918573884
IN,2020,4806,37145,82,1524,77,2890,12975,18681,1298,111,644,1020,4,2,4,8946,1314,31,1133,174,500,39,206,827,11673,563,5,158,706,2880,430,6789098,70.78996356,547.1271736,1.207818771,22.44775374,1.134171285,42.56824692,191.1152262,275.1617372,19.11888737,1.63497419,9.485796199,15.02408715,0.058917989,0.029458994,0.058917989,131.770082,19.35455932,0.456614413,16.68852033,2.562932513,7.364748601,0.574450391,3.034276424,12.18129419,171.9374208,8.292706925,0.073647486,2.327260558,10.39902503,42.42095194,6.333683797
IN,2021,4067,39462,70,1186,102,2606,13380,19905,0,89,246,842,3,0,1,7706,1469,36,1136,156,389,84,189,671,13485,617,0,4,630,3474,351,6813798,59.68771014,579.1483692,1.027327197,17.40585794,1.496962487,38.24592393,196.3662556,292.1278265,0,1.30617315,3.610321292,12.35727857,0.044028308,0,0.014676103,113.0940483,21.55919503,0.528339701,16.6720528,2.289472039,5.709003995,1.232792636,2.773783432,9.847664988,197.9072464,9.055155436,0,0.058704411,9.245944773,50.98478117,5.151312088
IN,2022,3920,41442,67,1232,101,2414,12980,18025,0,175,277,914,5,2,0,7976,1932,33,1106,142,385,50,185,702,14236,575,0,0,516,2747,349,6832274,57.37474814,606.5623246,0.980639828,18.0320637,1.47827795,35.33230664,189.9806711,263.8213866,0,2.561372685,4.05428705,13.37768362,0.073182077,0.029272831,0,116.7400488,28.27755444,0.483001706,16.18787537,2.078370979,5.635019907,0.731820767,2.707736838,10.27476357,208.3640088,8.415938822,0,0,7.552390317,40.20623295,5.108108955
IA,2014,3676,28313,112,1549,384,5645,11371,9101,11573,74,523,774,5,0,0,13046,4777,10,400,29,1271,68,162,363,8719,215,0,16,2324,762,203,3110643,118.174924,910.1976665,3.600541753,49.79677835,12.34471458,181.4737339,365.551431,292.5761651,372.0452652,2.378929372,16.81324408,24.88231533,0.160738471,0,0,419.3988188,153.5695353,0.321476942,12.85907769,0.932283132,40.85971936,2.186043207,5.207926464,11.669613,280.2957459,6.911754258,0,0.514363108,74.71124137,24.496543,6.525981927
IA,2015,4442,29611,127,1813,369,4755,10598,9080,8481,84,597,768,7,0,0,12986,4061,3,516,48,1050,120,159,394,7789,203,0,6,2162,783,198,3122541,142.2559384,948.2981969,4.067200399,58.06168758,11.8172988,152.2798259,339.4030695,290.7888159,271.6057211,2.690116799,19.11904439,24.59535359,0.2241764,0,0,415.8792471,130.0543372,0.0960756,16.52500319,1.537209599,33.62645999,3.843023999,5.092006798,12.6179288,249.4442827,6.501115598,0,0.1921512,69.23848238,25.07573159,6.340989598
IA,2016,4432,30255,91,1664,404,4211,10335,9754,7129,83,611,773,6,0,0,11288,4139,5,549,58,1287,104,161,403,8020,189,0,10,2363,863,196,3133210,141.4523763,965.623115,2.90436964,53.10847342,12.89412456,134.3989072,329.8534091,311.310126,227.5302326,2.649040441,19.50076758,24.67118387,0.191496899,0,0,360.2695,132.1009444,0.159580749,17.52196629,1.851136694,41.07608491,3.319279589,5.138500132,12.86220841,255.9675221,6.032152329,0,0.319161499,75.41786219,27.54363736,6.255565379
IA,2017,4437,34610,106,1743,269,3898,11221,10467,6285,79,749,817,7,0,0,10815,4036,7,643,59,1126,46,243,365,7893,231,0,17,2179,963,119,3143734,141.1378953,1100.920116,3.371786544,55.44362214,8.556703589,123.9926788,356.9322341,332.9480166,199.9214946,2.512935255,23.82517096,25.98820384,0.222665149,0,0,344.0176554,128.3823631,0.222665149,20.45338441,1.876749114,35.81727971,1.463228123,7.729661606,11.61039706,251.0708603,7.347949922,0,0.540758219,69.31248,30.63236266,3.785307536
IA,2018,3796,33417,82,1195,188,3562,10198,8853,5194,56,474,658,9,0,0,8663,3082,3,592,35,1081,31,218,230,6702,232,0,8,1825,790,107,3149900,120.5117623,1060.890822,2.603257246,37.93771231,5.968443443,113.082955,323.7563097,281.0565415,164.8941236,1.777834217,15.04809676,20.88955205,0.285723356,0,0,275.024604,97.84437601,0.095241119,18.79424744,1.111146386,34.3185498,0.984158227,6.92085463,7.301819105,212.7686593,7.365313185,0,0.253976317,57.93834725,25.08016127,3.396933236
IA,2019,4617,35143,98,1562,142,3503,10985,9855,5004,56,572,702,6,0,0,9931,2754,3,660,49,974,33,231,311,8280,274,0,8,2198,847,122,3159596,146.1262769,1112.262454,3.101662364,49.43670014,4.494245467,110.8686047,347.6710314,311.9069653,158.3746783,1.772378494,18.10358033,22.21803041,0.189897696,0,0,314.3123361,87.16304236,0.094948848,20.88874654,1.550831182,30.82672595,1.044437327,7.311061288,9.843030565,262.0588202,8.671994774,0,0.253196928,69.56585589,26.80722472,3.861253148
IA,2020,4789,28993,110,1491,92,2001,9749,8430,2540,44,407,480,3,0,0,7080,2148,2,673,55,1007,11,274,288,7460,294,0,6,2178,937,95,3190904,150.0828605,908.6139853,3.447298947,46.72657028,2.883195483,62.70950176,305.524704,264.1884557,79.6012666,1.378919579,12.7550061,15.04275904,0.094017244,0,0,221.8806959,67.31634672,0.062678163,21.09120174,1.723649474,31.55845491,0.344729895,8.586908287,9.025655426,233.7895468,9.213689914,0,0.188034488,68.25651916,29.36471921,2.977212727
IA,2021,4622,24171,92,1081,9,693,9209,8627,0,62,289,787,7,1,0,5912,1559,7,847,42,530,24,278,223,8811,295,0,6,2035,760,97,3197944,144.5303608,755.8293704,2.876848375,33.80296841,0.281430819,21.67017309,287.9662683,269.7670753,0,1.938745644,9.037056309,24.60956164,0.218890637,0.031270091,0,184.8687782,48.75007192,0.218890637,26.48576711,1.313343823,16.57314825,0.750482185,8.693085307,6.9732303,275.5207721,9.224676855,0,0.187620546,63.63463525,23.76526919,3.03319883
IA,2022,3783,23343,91,943,14,722,8533,8533,0,106,284,794,9,11,0,6034,1523,7,699,26,447,24,266,244,8105,340,0,5,1835,723,84,3199693,118.2300927,729.5387401,2.844022848,29.47157743,0.437541977,22.5646648,266.6818348,266.6818348,0,3.312817823,8.875851527,24.81488068,0.281276985,0.343782982,0,188.580592,47.59831646,0.218770988,21.84584584,0.812577957,13.97009026,0.75007196,8.313297557,7.625731594,253.3055515,10.62601943,0,0.156264992,57.34925194,22.5959178,2.62525186
KS,2014,1693,27251,64,875,0,2305,9239,8113,307,162,289,716,0,0,0,5339,4229,3,429,38,216,105,156,218,9750,399,0,0,1937,471,205,2901861,58.34187096,939.0870204,2.205481241,30.15306384,0,79.43178533,318.3818936,279.579208,10.57941783,5.582624392,9.95912623,24.67382139,0,0,0,183.9853804,145.7340651,0.103381933,14.78361644,1.309504487,7.443499189,3.618367661,5.375860525,7.512420478,335.9912828,13.74979711,0,0,66.75026819,16.23096351,7.064432101
KS,2015,1694,23880,56,771,0,2062,8035,8482,219,167,233,665,0,0,0,5355,3442,3,374,58,291,72,145,227,9216,396,1,0,1766,453,185,2910717,58.19871873,820.4164129,1.923924586,26.48831886,0,70.84165173,276.0488223,291.4058632,7.523919364,5.737417963,8.004900511,22.84660446,0,0,0,183.9752886,118.2526505,0.103067389,12.84906777,1.992636179,9.997536689,2.473617325,4.981590447,7.798765734,316.6230176,13.60489529,0.034355796,0,60.67233606,15.56317567,6.355822294
KS,2016,1751,21330,60,672,0,1786,6728,8833,159,150,235,546,0,0,0,4574,2916,1,403,56,219,56,137,227,8981,634,0,0,1704,575,169,2912977,60.110327,732.240591,2.059748498,23.06918318,0,61.31184695,230.9664649,303.229308,5.458333519,5.149371245,8.067348283,18.74371133,0,0,0,157.0214938,100.103777,0.034329142,13.83464408,1.922431931,7.518082017,1.922431931,4.703092403,7.79271515,308.310021,21.76467579,0,0,58.49685734,19.73925644,5.801624936
KS,2017,1913,25145,51,635,0,1815,6554,10624,161,111,270,624,0,0,0,4041,2653,0,445,63,269,119,130,214,8986,702,0,0,1778,769,171,2910892,65.71868692,863.8245596,1.752040268,21.81461902,0,62.3520213,225.1543513,364.9740355,5.53095065,3.813264113,9.275507302,21.43672799,0,0,0,138.8234259,91.14044767,0,15.28741018,2.164285037,9.241153571,4.088093959,4.465984997,7.35169838,308.7026245,24.11631898,0,0,61.08093327,26.41801894,5.874487958
KS,2018,450,24077,19,161,0,1599,6455,2680,139,33,88,356,0,0,0,970,2406,4,100,12,214,3,56,36,1827,185,0,0,392,139,58,2912748,15.44932826,826.6077258,0.652304971,5.527426334,0,54.8966131,221.612031,92.00933277,4.772125841,1.132950739,3.021201971,12.22213525,0,0,0,33.30188537,82.60240845,0.137327362,3.433184058,0.411982087,7.347013885,0.102995522,1.922583073,1.235946261,62.72427275,6.351390508,0,0,13.45808151,4.772125841,1.991246754
KS,2019,2257,23600,63,534,0,1750,7285,10511,131,56,212,456,1,0,0,3817,2331,2,348,55,267,93,137,219,8804,592,0,0,1922,845,157,2912635,77.48997042,810.2628719,2.16298987,18.33391414,0,60.08305194,250.117162,360.8759766,4.497645603,1.922657662,7.278632578,15.65592668,0.034333173,0,0,131.0497196,80.03062519,0.068666345,11.94794404,1.88832449,9.166957068,3.192985046,4.703644638,7.518964786,302.269251,20.32523814,0,0,65.98835762,29.0115308,5.390308089
KS,2020,2480,19562,65,587,0,1673,7498,10526,101,39,205,446,1,0,0,4580,1952,1,434,92,259,40,136,264,9639,722,1,0,2268,1022,142,2938124,84.40760159,665.7989928,2.212296009,19.97873473,0,56.94109575,255.1968535,358.2558122,3.437567645,1.327377606,6.97724126,15.17975416,0.034035323,0,0,155.8817803,66.43695093,0.034035323,14.77133028,3.131249736,8.815148714,1.361412929,4.628803958,8.98532533,328.0664805,24.57350336,0.034035323,0,77.19211306,34.78410033,4.833015897
KS,2021,3049,23030,75,712,0,1686,8259,11960,0,35,170,336,1,0,0,4237,1803,6,498,104,242,87,170,251,10372,695,0,0,2449,899,153,2937946,103.7799878,783.8809835,2.552803898,24.23461834,0,57.38703162,281.1147652,407.0871282,0,1.191308486,5.786355501,11.43656146,0.034037385,0,0,144.2164015,61.3694057,0.204224312,16.95061788,3.539888071,8.237047243,2.961252521,5.786355501,8.543383711,353.0357604,23.65598279,0,0,83.35755661,30.59960939,5.207719951
KS,2022,2800,22421,84,573,0,1704,7667,10750,0,61,143,338,0,0,0,4492,1627,7,377,86,247,94,165,247,9573,562,0,0,2284,815,170,2936716,95.3445958,763.4718509,2.860337874,19.5115905,0,58.02399687,261.0739343,366.0551446,0,2.077150123,4.869384714,11.50945478,0,0,0,152.959973,55.40202049,0.23836149,12.83746879,2.928441157,8.410755415,3.200854288,5.618520824,8.410755415,325.9763627,19.13702244,0,0,77.77394886,27.75208771,5.788779031
KY,2014,2153,66795,147,3570,0,4551,20009,21676,15715,507,1053,1174,9,0,0,18913,234,17,645,161,4786,226,264,1280,11434,1948,0,179,1113,1018,412,4416992,48.74357934,1512.228231,3.328056741,80.82423514,0,103.0339199,453.0005941,490.7412103,355.7851135,11.47839978,23.83975339,26.57917424,0.203758576,0,0,428.1873275,5.297722975,0.38487731,14.60269794,3.645014526,108.3542827,5.116604241,5.976918229,28.97899747,258.8639509,44.10241178,0,4.052531678,25.1981439,23.04735893,9.327614811
KY,2015,1983,90193,78,3261,1,4529,18145,22494,15411,487,1025,1153,17,0,0,17127,130,18,694,168,4467,275,268,1148,11642,2164,0,145,1078,888,414,4429126,44.77181277,2036.361124,1.761069791,73.62626396,0.022577818,102.254937,409.6745046,507.8654344,347.9467507,10.99539729,23.14226328,26.03222396,0.383822903,0,0,386.6902861,2.935116319,0.406400721,15.66900558,3.793073396,100.8551123,6.208899905,6.05085518,25.91933488,262.8509552,48.8583978,0,3.273783586,24.33888763,20.04910224,9.347216584
KY,2016,1969,106377,53,3052,3,4101,16916,23315,14276,457,1057,1056,9,0,0,14393,94,17,895,191,4560,252,260,1138,11788,2659,0,137,1148,906,321,4440306,44.34379072,2395.713268,1.193611431,68.73400167,0.067562911,92.35849962,380.9647353,525.0764249,321.5093735,10.29208347,23.80466571,23.78214474,0.202688734,0,0,324.144327,2.116971218,0.382856497,20.15626851,4.301505347,102.695625,5.675284541,5.855452304,25.62886432,265.4771991,59.8832603,0,3.085372945,25.85407402,20.40399918,7.229231499
