state_abbr,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)",Population,Aggravated Assault_rate,All Other Offenses (Except Traffic)_rate,Arson_rate,Burglary_rate,Curfew and Loitering Law Violations_rate,Disorderly Conduct_rate,Driving Under the Influence_rate,Drug Abuse Violations - Grand Total_rate,Drunkenness_rate,Embezzlement_rate,Forgery and Counterfeiting_rate,Fraud_rate,Gambling - Total_rate,Human Trafficking - Commercial Sex Acts_rate,Human Trafficking - Involuntary Servitude_rate,Larceny - Theft_rate,Liquor Laws_rate,Manslaughter by Negligence_rate,Motor Vehicle Theft_rate,Murder and Nonnegligent Manslaughter_rate,Offenses Against the Family and Children_rate,Prostitution and Commercialized Vice_rate,Rape_rate,Robbery_rate,Simple Assault_rate,"Stolen Property: Buying, Receiving, Possessing_rate",Suspicion_rate,Vagrancy_rate,Vandalism_rate,"Weapons: Carrying, Possessing, Etc._rate","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)_rate"
AK,2015,1734,13025,67,485,5,795,3163,1212,80,72,39,230,0,0,0,2540,1100,1,361,47,181,8,118,294,4350,52,0,3,898,303,240,738430,234.8225289,1763.877416,9.073304172,65.67988841,0.677112252,107.660848,428.3412104,164.1320098,10.83379603,9.750416424,5.281475563,31.14716358,0,0,0,343.9730238,148.9646954,0.13542245,48.88750457,6.364855166,24.51146351,1.083379603,15.97984914,39.8142004,589.087659,7.041967417,0,0.406267351,121.6093604,41.03300245,32.50138808
AK,2016,1845,11340,51,538,12,738,3063,1006,112,81,96,236,0,0,0,2401,775,5,505,41,195,13,130,282,4300,82,0,4,1024,311,281,742575,248.4597515,1527.118473,6.867993132,72.45059422,1.615998384,99.38390062,412.4835875,135.4745312,15.08265158,10.90798909,12.92798707,31.78130155,0,0,0,323.3343433,104.3665623,0.67333266,68.00659866,5.521327812,26.25997374,1.750664916,17.50664916,37.97596202,579.0660876,11.04265562,0,0.538666128,137.8985288,41.88129145,37.84129549
AK,2017,1913,10737,22,623,0,757,3102,1004,43,77,113,219,0,0,0,2356,653,2,694,46,159,5,126,289,4478,105,0,2,1004,369,256,740983,258.1705653,1449.021098,2.969028979,84.07750245,0,102.1615881,418.633086,135.4956861,5.803102095,10.39160143,15.25001248,29.55533393,0,0,0,317.9560125,88.12617833,0.269911725,93.6593687,6.207969684,21.45798217,0.674779313,17.0044387,39.00224432,604.3323531,14.17036558,0,0.269911725,135.4956861,49.79871333,34.54870085
AK,2018,2132,11072,43,602,5,843,3148,1046,47,54,154,201,0,0,0,2392,592,4,726,38,174,2,149,367,4943,120,0,17,1103,387,263,736624,289.428528,1503.073481,5.837442169,81.72419036,0.678772345,114.4410174,427.3550685,141.9991746,6.380460045,7.330741328,20.90618823,27.28664828,0,0,0,324.7246899,80.36664567,0.543017876,98.55774452,5.158669823,23.62127761,0.271508938,20.22741589,49.82189014,671.0343405,16.29053628,0,2.307825974,149.7371793,52.53697952,35.70342536
AK,2019,2188,11465,52,641,0,878,3196,1098,33,46,88,132,0,0,0,2107,340,4,514,48,190,6,135,321,5202,92,0,38,1211,295,246,733603,298.2539602,1562.834394,7.088302529,87.37696002,0,119.6832619,435.6579785,149.6722342,4.498345836,6.270421468,11.99558889,17.99338334,0,0,0,287.2125659,46.34659346,0.545254041,70.06514423,6.543048488,25.89956693,0.817881061,18.40232387,43.75663676,709.1028799,12.54084294,0,5.179913386,165.0756608,40.2124855,33.5331235
AK,2020,2132,9909,43,476,0,663,3061,817,19,35,55,200,0,0,0,1577,277,1,344,33,101,1,165,288,4654,66,2,44,1083,333,245,732964,290.8737673,1351.908143,5.866590992,64.94179796,0,90.45464716,417.6194192,111.4652289,2.592214624,4.775132203,7.503779176,27.28646973,0,0,0,215.1538138,37.79176058,0.136432349,46.93272794,4.502267506,13.77966721,0.136432349,22.51133753,39.29251641,634.9561506,9.004535011,0.272864697,6.003023341,147.7562336,45.4319721,33.42592542
AK,2021,739,4521,14,177,0,480,1746,508,0,3,11,31,0,1,0,426,131,3,127,16,36,0,88,35,2147,11,0,8,379,146,50,734923,100.554752,615.1664868,1.904961472,24.08415576,0,65.31296476,237.5759093,69.1228877,0,0.40820603,1.496755442,4.218128974,0,0.136068677,0,57.96525622,17.82499663,0.40820603,17.28072193,2.177098825,4.898472357,0,11.97404354,4.76240368,292.1394486,1.496755442,0,1.088549413,51.57002842,19.86602678,6.803433829
AK,2022,1893,6666,42,428,1,525,3227,831,4,30,44,104,0,0,0,1063,134,1,323,55,125,9,129,197,3850,70,0,4,988,292,205,733276,258.1565468,909.0710728,5.727720531,58.3681997,0.136374298,71.59650664,440.0798608,113.3270419,0.545497193,4.091228951,6.000469128,14.18292703,0,0,0,144.9658792,18.27415598,0.136374298,44.04889837,7.500586409,17.04678729,1.227368685,17.59228449,26.86573678,525.0410487,9.546200885,0,0.545497193,134.7378068,39.82129512,27.95673116
AZ,2014,6973,76924,208,3948,1470,15103,27590,30237,0,156,1157,2096,6,0,0,36742,14514,18,1603,181,2533,892,303,1610,26017,1189,0,303,10916,2395,1638,6732873,103.5664864,1142.513753,3.089320116,58.63767221,21.83317582,224.317316,409.7804904,449.0950594,0,2.316990087,17.18434315,31.13084117,0.089115003,0,0,545.7105756,215.5691931,0.26734501,23.8085584,2.688302601,37.62138392,13.2484305,4.50030767,23.9125259,386.4175071,17.65962317,0,4.50030767,162.1298961,35.57173884,24.32839592
AZ,2015,8187,81052,208,3913,1334,18961,27617,29602,14105,190,1012,1940,15,0,0,35808,12577,21,1681,208,3625,659,316,1716,26721,1212,185,377,10467,2854,1529,6832810,119.8189325,1186.217676,3.044135575,57.26780051,19.52344643,277.4993012,404.182174,433.2331793,206.4304437,2.780700766,14.8108904,28.39241835,0.219529008,0,0,524.0596475,184.0677554,0.307340611,24.60188414,3.044135575,53.05284356,9.644641077,4.624744432,25.1141185,391.0689746,17.73794383,2.70752443,5.51749573,153.1873417,41.76905256,22.37732353
