State,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nevada,8.230769231,6.956213018,5.006463359,5.053587059,4.434891312,4.133453178,12.96411178,7.404931676,5.515763975
New Hampshire,4.369230769,3.466863905,6.738507055,2.817555408,2.639811954,2.572293227,6.39786871,3.630605285,2.586969637
New Jersey,6.792307692,5.784023669,4.909194356,4.569727951,4.051517535,3.49627058,8.992020814,6.791693909,3.907053378
New Mexico,6.607692308,6.600591716,5.145744197,6.095269773,5.015020752,4.962693904,7.6971303,7.107471562,4.262113197
New York,6.353846154,5.319526627,3.074738279,4.654553412,4.142657955,3.87251215,9.390193242,7.199245634,4.476865049
North Carolina,6.130769231,5.694674556,5.070914884,4.572749554,4.03636535,3.879720412,7.013824647,5.039524973,3.749194229
North Dakota,2.630769231,2.771597633,4.630678198,2.644210637,2.426477741,2.186652134,4.775896318,3.198145871,2.169088144
Ohio,5.884615385,5.021893491,4.812335002,4.97468576,4.536514289,4.210501099,7.977730854,5.352133143,4.127087165
Oklahoma,4.384615385,4.298816568,5.349021393,4.079282938,3.352252534,3.150173272,6.073090252,4.174853096,3.113450238
Oregon,6.684615385,5.56035503,5.312835685,4.116333462,4.047410266,3.74980079,7.319215445,5.37070888,4.228516068
Pennsylvania,5.984615385,5.437278107,4.994538006,5.003770876,4.461828529,4.335525271,8.564271175,6.22802086,4.494463143
Rhode Island,7.869230769,6.166863905,3.020983159,4.57021813,4.074632164,3.59035632,8.776181255,5.75970625,3.412285096
South Carolina,6.276923077,5.928994083,4.826854802,4.261118308,3.443162947,2.834089457,5.741083804,4.118544908,3.324503454
South Dakota,3.346153846,3.072781065,4.641647701,3.047767935,2.811366764,2.785489751,4.114268442,2.754943726,2.119611056
Tennessee,6.638461538,5.649112426,3.36304051,3.832834985,3.525602691,3.355815592,7.211985815,4.700921986,3.469301691
Texas,5.238461538,4.541420118,3.159171598,4.364742131,3.935749395,3.556596107,7.404353547,5.784950273,4.021919252
Utah,3.653846154,3.519526627,4.032771962,3.181772347,2.937059411,2.572081493,4.674775499,2.905751961,2.346596305
Vermont,4,3.569230769,5.244105599,3.019936277,2.524610483,2.132662345,5.440974027,3.833921079,2.717993929
Virginia,5.138461538,4.426035503,6.129085116,3.694828612,3.061140662,2.781626205,6.221663554,4.063204889,2.927938838
Washington,5.953846154,5.473372781,3.95389167,4.688008123,4.445231394,4.249633184,8.12689486,5.432838066,4.271756774
West Virginia,6.515384615,6.578106509,5.247701411,5.279160394,5.17532003,4.951947695,8.019380592,5.332260046,4.025558465
Wisconsin,5.407692308,4.500591716,,3.311837821,3.000910602,3.1539162,6.142608938,4.018662226,3.016820171
Wyoming,4.361538462,4.220118343,,4.395977032,4.084305926,3.74494661,5.734226662,4.710325128,3.654640394
